paper,Cited By,Influential,Importance,Binary Importance,Simarity,author,reference,title,abstract,keyphrases
0024356dbbb46b20a2b4df71f7cc03dfa8818139,198b711915429fa55162e749a0b964755b36a62e,0,2,1,0,0.333333333,0.05,0,0.050103647,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,9c1a028299cc2b7f4cbdbe6e19abfc844a6ead6b,0,2,1,0,1,0.111111111,0.136276341,0.070102757,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ff2d41298dcf295e1661ebf469572f8d799306ab,0,1,0,1,0,0,0.069972543,0.049375636,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ba03b36abc133bad0b0692ea904e5a26ffbb8de7,0,1,0,1,0,0,0,0.054616893,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,d0c92b106f758b045643a1ea8a82864bece2bfb6,0,1,0,1,0,0,0.091939982,0.036841813,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,16239b4b9b9215f30e522f01543fe7583033a690,0,1,0,1,0,0,0.084579861,0.059000012,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,b1b52688d331e5f697c875846a8218e7897ca2c4,0,0,0,1,0,0,0.084579861,0.088876329,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,109acf0456a990eb4a0c20daff21382921d5dc5f,0,0,0,1,0,0,0.10163067,0.037212939,0.1
0024356dbbb46b20a2b4df71f7cc03dfa8818139,66e21c4a46551429b15fd329f6bf0e5440b376c8,0,0,0,1,0,0,0.115215543,0.065314502,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,b9681cd07ce0590aaaa8bb0f0d417413a0cede9c,0,0,0,1,0,0,0,0.070963822,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,a9ec5b5030d34d6cec60f52232999cc4ff9c63c7,0,0,0,1,0,0,0.10163067,0.071727694,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,107cb16eadc88d4e4f6cab55a41b293e0539dd1e,0,0,0,1,0,0,0,0.039898955,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,0aacc118744a102db0782da73b1592d0e567d960,0,0,0,1,0,0,0,0.008735742,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,66861e303573478d20dc030812bae465dc85a7cf,0,0,0,1,0,0,0,0.033663936,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,67f43d5a3ea4ce89a8b10d1fe55c4a65003cc722,0,0,0,1,0,0.032258065,0.078744603,0.04404623,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,74f61af390292fc197659ae698429df4a2de62df,0,0,0,1,0,0,0,0.056398831,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,418bff91d4ce3cad70ee7288568d4c2cac3ac4cc,0,0,0,1,0,0,0,0.098261002,0.111111111
0024356dbbb46b20a2b4df71f7cc03dfa8818139,3e6f0453a175e40430eb530dc4f2e7f2aa386f43,0,0,0,1,0,0,0.115215543,0.009561552,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,745442386c51d1cedae3a09a14781c941a36b306,0,0,0,1,0,0,0.078744603,0.04339207,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ed2e60f027b03bec109d5cd047c9178b8f8259e1,0,0,0,1,0,0,0.091939982,0.058476731,0
00fdd251797ea47f7273256df48495dd15516105,c8d0996ea761a2d002fe075fe2792622ba607ebb,0,0,0,1,0,0,0,0.044139372,0
033b62167e7358c429738092109311af696e9137,94db635f54d25bdb95edb42185aca93ba53b051b,0,0,0,1,0,0,0.059929968,0.095796946,0
04538e8875c78fe880da81eab3e04a99328b1d09,911d79afaf3ca3e3b9634ec6ed16de450cce0c8c,0,0,0,1,0,0.024390244,0,0.116985028,0
04a8d271bc4384dbfbb417bfb625feb01cb44666,03539fc7a0dada577db3fc9bc2b3c8e091877108,1,2,1,1,0,0.055555556,0.098679618,0.254455928,0
04a8d271bc4384dbfbb417bfb625feb01cb44666,586fb3f66b786502dd706aa8633d3ed7b66b445f,0,1,0,1,0,0.0625,0,0.109282637,0
04a8d271bc4384dbfbb417bfb625feb01cb44666,303515056a2a89119924693dcc9dec31007f329e,0,0,0,1,0,0,0,0.011515428,0
04a8d271bc4384dbfbb417bfb625feb01cb44666,98f4a8d8407f3918f98ee2889347b11191cf411c,0,0,0,1,0,0,0,0.056935456,0
04a8d271bc4384dbfbb417bfb625feb01cb44666,48f2a5e67c5f5417ea895ec419e49cf3ea443610,0,0,0,1,0,0.078947368,0.115215543,0.103955667,0
08240b716eb2d63d78998e738531502283901b89,3a1175715f1a551cfdf0edbb975e4c2c80eed0e0,0,0,0,1,0,0.016949153,0,0.041485321,0.125
0ea9ec9ada1f86d7107643a8aa41f15796c205f9,e31eed985ae3274e9036f9eb97fd3810928615c6,0,0,0,1,0,0,0,0.030969547,0
10007391361e17f41aa92f3430c00830dff3be6a,0cb912b4a208b217c45d57e28fc0f59599f92330,0,3,1,0,0.25,0.357142857,0.150640185,0.188715001,0.071428571
10007391361e17f41aa92f3430c00830dff3be6a,3081ec59edf33adb3bb5fd4ead6698398654c05e,1,3,1,1,0,0.038461538,0.10163067,0.183919662,0.076923077
10007391361e17f41aa92f3430c00830dff3be6a,180c660a65c17b04a7f933191976280867527747,0,2,1,0,0,0.085714286,0.225764846,0.173728869,0.153846154
10007391361e17f41aa92f3430c00830dff3be6a,220a47b587d1a5f4a464a04a4e06366059debeba,1,2,1,1,0,0.041666667,0.519387993,0.192375823,0.071428571
